num	Точка сбора	Высота генеративного побега	Длина первого листа	Ширина первого листа	Длина второго листа	Ширина второго листа	Длина внешнего околоцветника	Ширина внешнего околоцветника	Длина внутреннего околоцветника	Ширина внутреннего околоцветника	Высота тычинки	Высота пестика
1	Г	4.500	8.400	1.000	7.600	0.600	1.900	0.700	2.000	1.000	1.200	1.000
2	Г	4.200	7.400	0.900	7.000	0.600	2.400	0.800	2.300	1.100	1.300	1.200
3	Г	5.800	10.200	1.100	9.300	0.700	2.900	0.800	2.900	1.100	1.900	1.300
4	Г	4.700	8.500	1.100	7.600	0.900	2.200	0.700	2.300	1.100	1.600	1.400
5	Г	4.300	7.700	1.200	7.900	0.700	2.500	0.800	2.400	1.200	1.300	1.200
6	Г	6.000	8.500	1.000	8.000	0.600	2.300	0.700	2.700	1.000	1.600	1.400
7	Г	2.700	8.500	0.900	7.000	0.700	2.300	0.600	2.400	1.000	1.800	1.200
8	Г	4.100	7.000	0.600	5.800	0.500	2.000	0.500	2.100	0.700	1.300	0.800
9	Г	6.100	8.500	0.800	8.000	0.600	2.100	0.600	2.200	0.900	1.300	0.900
10	Г	6.800	11.000	1.100	10.000	0.700	2.700	0.900	2.800	1.600	1.700	1.600
11	Г	4.600	8.500	1.000	8.200	0.600	2.100	0.700	1.900	1.000	1.100	0.600
12	Г	4.000	8.500	0.600	7.100	0.400	1.900	0.500	2.000	0.800	1.300	1.000
13	Г	4.300	7.800	0.900	7.600	0.700	1.800	0.600	1.900	0.800	1.400	1.200
14	Г	5.000	8.400	0.700	8.300	0.500	2.400	0.700	2.200	0.900	1.300	0.700
15	Г	5.300	10.300	1.100	8.700	0.700	1.900	0.600	2.000	0.700	1.200	0.800
16	И	12.500	14.200	1.700	11.700	0.900	2.500	0.500	2.434	0.552	1.600	1.503
17	И	14.800	12.500	1.100	12.000	0.700	2.700	0.400	2.498	0.441	1.400	1.476
18	И	13.800	12.300	1.000	12.000	0.800	2.300	0.400	2.178	0.487	1.600	1.211
19	И	7.500	11.300	1.000	10.800	0.700	1.800	0.300	1.649	0.371	1.100	0.827
20	И	9.000	12.500	1.600	11.600	0.900	2.300	0.500	2.232	0.617	1.800	1.150
21	И	6.400	14.200	1.700	12.700	0.800	1.900	0.400	1.886	0.520	1.900	0.789
22	И	8.500	14.700	1.700	11.400	0.900	2.300	0.600	2.313	0.752	1.600	1.326
23	И	7.500	12.000	1.600	11.200	0.900	2.200	0.500	2.000	0.700	1.900	1.205
24	И	7.000	11.500	1.100	9.200	0.800	2.400	0.600	2.343	0.781	1.300	1.358
25	И	6.500	10.000	1.100	9.600	0.700	1.900	0.500	1.838	0.683	1.200	0.953
26	И	9.000	12.600	1.700	12.000	1.100	2.500	0.700	2.335	0.877	1.200	1.311
