proba	Synedra_acus subsp_radians	Aulacoseira_baicalensis	Asterionella_formosa	Gymnodinium_baicalense	Aulacoseira_islandica	Peridinium_baicalense	Koliella_longiseta 	NO3_mg/l	pH	PO4_mg/l	Si_mg/l	T_C	Î2_mg/l	bassein
MID1_S12K	423.16	108.06	0	47.28	47362	137.78	15.81	0.26	8.015	0.0215	0.5	2.76	13.1	S
MID10_MAS	218.13	59.53	0	0	0	184.01	30.64	0.335	7.94	0.0285	0.57	3.63	12.1	M
MID12_M3U	16.73	23468	0	37.69	0	0	43837	0.275	8.08	0.025	0.52	2.65	12.82	M
MID13_MUT	47.63	14366	0	56.57	0	18.32	33909	0.27	8	0.022	0.445	3.03	12.79	M
MID14_Bb	677.67	697.87	0	0	31.74	0	0	0.27	8.02	0.018	0.59	3.44	12.49	S
MID15_Chb	325.65	1128.45	89.44	0	367.6	0	43984	0.01	8.365	0.013	0.39	8.3	11.855	S
MID16_MKhK	500.63	69.77	0	0	18.57	0	54.29	0.27	7.98	0.023	0.455	3.13	12.645	M
MID17_NED	25.84	801.22	0	42.32	0	0	35096	0.255	8.155	0.0175	0.64	2.42	13.315	N
MID18_SLT	109.56	35125	0	24.76	0	0	28795	0.33	7.875	0.0285	0.59	3.56	11.875	S
MID19_NBT	21702	911.07	0	0	0	0	0	0.27	7.97	0.02	0.685	3.23	12.855	N
MID2_S3M	465.7	142.2	0	42.99	44.17	180.51	13.53	0.28	8.045	0.0245	0.47	3.12	12.825	S
MID21_NZS	35490	410.54	0	0	12875	0	0.11	0.245	8.13	0.017	0.47	2.77	13.41	N
MID22_MAr	131.68	692.5	0	54.1	0	52.56	47119	0.33	8.05	0.0265	0.625	3.26	12.175	N
MID23_Ms	710.65	4385.09	24.22	0	0	0	0	0.27	8.165	0.0215	0.545	3.06	13.22	M
MID24_N3T	43966	193.65	0.31	0	14.52	0	0	0.34	7.94	0.026	0.83	4.73	11.92	M
MID25_NTN	22313	106.33	0	0	0	0	0	0.345	7.84	0.0275	0.82	3.87	11.965	N
MID26_N3E	42.64	508.19	0	34304	0	0	13881	0.23	8.175	0.017	0.495	2.59	13.355	N
MID27_N7N	26330	225.81	0	0	0	0	0	0.34	7.87	0.027	0.98	4.55	11.745	N
MID28_N3B	44139	596.51	0	0	0	0	0.6	0.25	8.04	0.021	0.685	3.31	12.815	N
MID29_S3T	146.71	44092	0	37.31	0	0	26054	0.25	8.08	0.0195	0.51	3.56	13.095	S
MID3_SMS	361.21	70.23	0	0	0	199	50.38	0.25	8.045	0.0185	0.43	2.87	13.06	S
MID30_N3D	14.83	69.63	0	15.27	0	0	43864	0.27	8.01	0.023	0.76	5.15	12.39	N
MID4_S3S	494.85	105.09	0	65.68	18.36	0	23.96	0.25	8.08	0.0195	0.51	2.78	13.095	S
MID5_STS	307.04	0	0	0	0	0	36.58	0.29	7.96	0.0235	0.51	3.36	12.4675	S
MID6_M3T	120.67	0	0	175.11	0	18.32	20180	0.3	7.98	0.0305	0.69	5.42	11.95	M
MID7_S3L	93.58	44142	0	17.77	0	0	18233	0.33	7.85	0.0285	0.59	3.47	11.875	S
MID8_SKM	234.33	145.3	0	23.19	19.94	0	15.74	0.37	7.9	0.027	0.57	3.51	11.985	M
MID9_MKKh	126.81	90.57	0	32.35	27.82	131.97	20821	0.27	7.97	0.0215	0.32	3.55	12.68	M
